date,cluster_id,demand,temperature,supply
2021-01-18,0_16,409.0,15.8,410.0
2021-01-18,0_17,293.0,15.8,340.0
2021-01-18,0_18,84.0,15.8,91.0
2021-01-18,0_2,615.0,15.8,594.0
2021-01-18,0_3,26.0,15.8,29.0
2021-01-18,0_4,149.0,15.8,138.0
2021-01-18,0_5,213.0,15.8,220.0
2021-01-18,0_6,507.0,15.8,461.0
2021-01-18,0_7,203.0,15.8,191.0
2021-01-18,0_8,267.0,15.8,293.0
2021-01-18,0_9,42.0,15.8,40.0
2021-01-18,1_0,20.0,15.8,19.0
2021-01-18,1_1,111.0,15.8,110.0
2021-01-18,1_2,24.0,15.8,32.0
2021-01-18,1_4,47.0,15.8,39.0
2021-01-18,1_5,34.0,15.8,38.0
2021-01-18,1_6,37.0,15.8,33.0
2021-01-18,2_0,67.0,15.8,67.0
2021-01-18,2_1,99.0,15.8,94.0
2021-01-18,2_2,61.0,15.8,61.0
2021-01-18,2_3,192.0,15.8,197.0
2021-01-19,0_0,316.0,16.8,353.0
2021-01-19,0_1,18.0,16.8,12.0
2021-01-19,0_10,250.0,16.8,262.0
2021-01-19,0_11,235.0,16.8,243.0
2021-01-19,0_12,19.0,16.8,25.0
2021-01-19,0_13,148.0,16.8,140.0
2021-01-19,0_14,23.0,16.8,26.0
2021-01-19,0_15,107.0,16.8,96.0
2021-01-19,0_16,221.0,16.8,199.0
2021-01-19,0_17,123.0,16.8,123.0
2021-01-19,0_18,31.0,16.8,35.0
2021-01-19,0_2,389.0,16.8,407.0
2021-01-19,0_3,13.0,16.8,15.0
2021-01-19,0_4,59.0,16.8,51.0
2021-01-19,0_5,58.0,16.8,54.0
2021-01-19,0_6,420.0,16.8,393.0
2021-01-19,0_7,157.0,16.8,148.0
2021-01-19,0_8,52.0,16.8,53.0
2021-01-19,0_9,31.0,16.8,35.0
2021-01-19,1_0,26.0,16.8,22.0
2021-01-19,1_1,71.0,16.8,79.0
2021-01-19,1_2,10.0,16.8,11.0
2021-01-19,1_3,1.0,16.8,2.0
2021-01-19,1_4,29.0,16.8,27.0
2021-01-19,1_5,15.0,16.8,18.0
2021-01-19,1_6,36.0,16.8,29.0
2021-01-19,2_0,47.0,16.8,51.0
2021-01-19,2_1,101.0,16.8,99.0
2021-01-19,2_2,49.0,16.8,50.0
2021-01-19,2_3,184.0,16.8,181.0
2021-01-20,0_0,358.0,12.8,391.0
2021-01-20,0_1,18.0,12.8,17.0
2021-01-20,0_10,260.0,12.8,275.0
2021-01-20,0_11,236.0,12.8,243.0
2021-01-20,0_12,24.0,12.8,24.0
2021-01-20,0_13,171.0,12.8,147.0
2021-01-20,0_14,16.0,12.8,19.0
2021-01-20,0_15,112.0,12.8,99.0
2021-01-20,0_16,267.0,12.8,240.0
2021-01-20,0_17,131.0,12.8,131.0
2021-01-20,0_18,38.0,12.8,36.0
2021-01-20,0_2,419.0,12.8,416.0
2021-01-20,0_3,10.0,12.8,12.0
2021-01-20,0_4,65.0,12.8,64.0
2021-01-20,0_5,64.0,12.8,68.0
2021-01-20,0_6,424.0,12.8,425.0
2021-01-20,0_7,157.0,12.8,153.0
2021-01-20,0_8,53.0,12.8,60.0
2021-01-20,0_9,19.0,12.8,23.0
2021-01-20,1_0,24.0,12.8,25.0
2021-01-20,1_1,86.0,12.8,91.0
2021-01-20,1_2,17.0,12.8,18.0
2021-01-20,1_3,3.0,12.8,4.0
2021-01-20,1_4,37.0,12.8,33.0
2021-01-20,1_5,21.0,12.8,21.0
2021-01-20,1_6,27.0,12.8,23.0
2021-01-20,2_0,40.0,12.8,42.0
2021-01-20,2_1,100.0,12.8,96.0
2021-01-20,2_2,48.0,12.8,51.0
2021-01-20,2_3,211.0,12.8,209.0
2021-01-21,0_0,356.0,11.0,377.0
2021-01-21,0_1,10.0,11.0,8.0
2021-01-21,0_10,274.0,11.0,298.0
2021-01-21,0_11,242.0,11.0,243.0
