station_id,lat,lng,region,sub_region_cluster,cluster_id
SF-K15-2,37.772613848998496,-122.44880445559151,0,16,0_16
SF-K16,37.77118573710076,-122.44535346851097,0,16,0_16
SF-K17,37.773658355978164,-122.44260171854356,0,16,0_16
SF-K17-2,37.77053613788565,-122.44236673539524,0,16,0_16
SF-K18,37.77314489191289,-122.43913740570268,0,16,0_16
SF-K19,37.77237370903116,-122.43583247798114,0,16,0_16
SF-K20,37.771899831177095,-122.43377710745371,0,2,0_2
SF-K21,37.77349589476025,-122.42706462366668,0,2,0_2
SF-K22-1,37.77386496440791,-122.42091884197215,0,2,0_2
SF-K22-2,37.771678108129585,-122.42232923976864,0,2,0_2
SF-K23,37.7721865201017,-122.41976966700837,0,2,0_2
SF-K24,37.77347492976404,-122.41596968030161,0,6,0_6
SF-K24-2,37.774526296048585,-122.41388787512615,0,6,0_6
SF-K24-3,37.77452421951506,-122.41387693278226,0,6,0_6
SF-K25,37.77354351049785,-122.411879297443,0,6,0_6
SF-K26,37.77147719383115,-122.40580395649354,0,11,0_11
SF-K27,37.773212994420604,-122.40336090307582,0,10,0_10
SF-K27-2,37.77256583619376,-122.40379394691226,0,10,0_10
SF-K27-3,37.77426360974255,-122.40179976983156,0,10,0_10
SF-K28,37.775193486979134,-122.39754332144489,0,10,0_10
SF-K28-3,37.7732151399037,-122.400069074601,0,10,0_10
SF-K29-1,37.776039068860335,-122.39309931393642,0,10,0_10
SF-K29-1B,37.78,-122.39,0,0,0_0
SF-K30-2,37.772026280135435,-122.39010581762666,0,10,0_10
SF-K30-3,37.77370609838196,-122.39161561924345,0,10,0_10
SF-L15,37.76835891562205,-122.45249769900114,0,15,0_15
SF-L19,37.76922519732194,-122.43402808359525,0,2,0_2
SF-L20,37.769807829924055,-122.42915281979644,0,2,0_2
SF-L21,37.769267228145345,-122.42694041519043,0,2,0_2
SF-L22,37.76900517270469,-122.42225546849949,0,2,0_2
SF-L24,37.77028047487945,-122.41545300914048,0,11,0_11
SF-L24-2,37.76879947631923,-122.41348123336923,0,11,0_11
SF-L25,37.77004600334392,-122.4118602673542,0,11,0_11
SF-L26,37.76925466588987,-122.4070495147913,0,11,0_11
SF-L27,37.77108032680103,-122.40271759663534,0,10,0_10
SF-L27-2,37.77131484018443,-122.40095913248875,0,10,0_10
SF-L28,37.77190204352592,-122.39832280494619,0,10,0_10
SF-L29,37.77245366625287,-122.39283210621264,0,10,0_10
SF-L30-1,37.77035293118494,-122.39123693379075,0,10,0_10
SF-L31-1,37.77171863321499,-122.3867041544105,0,10,0_10
SF-LW1,37.7418602,-122.50688198333333,0,8,0_8
SF-LW10,37.725193716666666,-122.4620279611111,0,12,0_12
SF-LW11,37.72450222133333,-122.45920086800001,0,12,0_12
SF-LW12,37.74889022820513,-122.45702552692309,0,15,0_15
SF-LW13,37.74824618910257,-122.4591702173077,0,15,0_15
SF-LW14,37.73993691851852,-122.46676145185185,0,12,0_12
SF-LW15,37.7380906,-122.468886825,0,12,0_12
SF-LW2,37.73533740952381,-122.50530027261905,0,8,0_8
SF-LW21,37.741858317695474,-122.50687929876543,0,8,0_8
SF-LW210,37.725064354320985,-122.46160163209876,0,12,0_12
SF-LW214,37.740608735632186,-122.46623869195402,0,12,0_12
SF-LW215,37.73759539777778,-122.46947119666667,0,12,0_12
SF-LW23,37.737937427891154,-122.50630583809524,0,8,0_8
SF-LW24,37.74559319047619,-122.50741207142858,0,8,0_8
SF-LW26,37.74301553066667,-122.47927776666666,0,1,0_1
SF-LW27,37.74855968205129,-122.47838933846154,0,1,0_1
SF-LW28,37.742092284496124,-122.49857707364342,0,8,0_8
SF-LW29,37.73167393703704,-122.47333343703703,0,12,0_12
SF-LW3,37.73880603333333,-122.50655975000001,0,8,0_8
SF-LW4,37.74556356666667,-122.50739466666667,0,8,0_8
SF-LW5,37.742750498666666,-122.48336874133334,0,1,0_1
SF-LW6,37.742954995238094,-122.47920959523809,0,1,0_1
SF-LW7,37.748592366666664,-122.47912286111112,0,1,0_1
SF-LW8,37.742064241025645,-122.49861243333334,0,8,0_8
SF-LW9,37.73165171428571,-122.47294541428572,0,12,0_12
SF-M1,37.76382227981374,-122.50950788289154,0,8,0_8
SF-M10,37.764078951039934,-122.47066251754026,0,15,0_15
SF-M11,37.7642186407801,-122.46738510409956,0,15,0_15
SF-M12,37.763596744157226,-122.46410688222238,0,15,0_15
SF-M13,37.76582531090106,-122.45754603657022,0,15,0_15
SF-M15,37.76595086333213,-122.44926294084883,0,15,0_15
SF-M20,37.766276214418944,-122.43108728131052,0,2,0_2
SF-M21,37.76612591585333,-122.42663749327139,0,2,0_2
SF-M22-1,37.768253631956306,-122.42035966084849,0,2,0_2
SF-M22-2,37.765357728715074,-122.42193558361986,0,2,0_2
SF-M24,37.76710251969339,-122.41546357895096,0,11,0_11
SF-M25,37.76713281004071,-122.41066844026373,0,11,0_11
SF-M26,37.76711580816846,-122.40742478599023,0,11,0_11
SF-M26-2,37.7685931249439,-122.40412298924,0,11,0_11
SF-M27,37.76721225564261,-122.40024395879531,0,10,0_10
SF-M28,37.76662825731395,-122.3982045323135,0,10,0_10
SF-M3,37.76271197851359,-122.50075170932863,0,8,0_8
SF-M30,37.76705190470147,-122.39092443403129,0,10,0_10
SF-M30-2,37.76930530610914,-122.38627596587045,0,10,0_10
